                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                 1.7426,                 1.4537,                 1.2506,                 0.2634,                0.36561,                0.27301,                 0.1159,                 2.3252,                 2.4887,                 1.4333,              0.0007235,              0.0007235,              0.0007235
                     45,                 1.5579,                 1.3774,                 1.2278,                 0.2634,                0.36561,                0.27301,                 0.1159,                 2.3252,                 2.4887,                 1.4333,             0.00073853,             0.00073853,             0.00073853
                     46,                 1.6216,                 1.3856,                  1.279,                0.27488,                0.40678,                0.26637,                0.11577,                 2.0891,                 2.0877,                 1.4203,             0.00075349,             0.00075349,             0.00075349
                     47,                 1.4432,                 1.2586,                 1.2409,                0.27488,                0.40678,                0.26637,                0.11577,                 2.0891,                 2.0877,                 1.4203,             0.00076837,             0.00076837,             0.00076837
                     48,                 1.5457,                 1.3061,                 1.2952,                0.27488,                0.40678,                0.26637,                0.11577,                 2.0891,                 2.0877,                 1.4203,             0.00078319,             0.00078319,             0.00078319
                     49,                 1.6365,                 1.2976,                 1.3037,                0.27488,                0.40678,                0.26637,                0.11577,                 2.0891,                 2.0877,                 1.4203,             0.00079793,             0.00079793,             0.00079793
                     50,                 1.6505,                 1.3226,                 1.3006,                  0.362,                0.39793,                0.34339,                0.15036,                 1.9224,                 1.8227,                 1.3596,              0.0008126,              0.0008126,              0.0008126
                     51,                 1.7399,                 1.4442,                 1.3639,                  0.362,                0.39793,                0.34339,                0.15036,                 1.9224,                 1.8227,                 1.3596,             0.00081901,             0.00081901,             0.00081901
                     52,                 1.6008,                 1.2406,                 1.3129,                  0.362,                0.39793,                0.34339,                0.15036,                 1.9224,                 1.8227,                 1.3596,             0.00081721,             0.00081721,             0.00081721
                     53,                 1.5154,                 1.1987,                 1.2945,                  0.362,                0.39793,                0.34339,                0.15036,                 1.9224,                 1.8227,                 1.3596,             0.00081541,             0.00081541,             0.00081541
                     54,                 1.6428,                 1.4269,                 1.3185,                0.38579,                0.40268,                0.35177,                0.17058,                 1.9034,                 1.7037,                 1.3423,             0.00081361,             0.00081361,             0.00081361
